iter	Passed	Remaining
405	6937	5604
406	6953	5586
407	6970	5569
408	6985	5551
409	7001	5532
410	7019	5516
411	7035	5498
412	7051	5480
413	7065	5461
414	7080	5442
415	7095	5424
416	7112	5406
417	7127	5388
418	7142	5369
419	7156	5350
420	7171	5331
421	7187	5313
422	7203	5295
423	7219	5278
424	7237	5262
425	7256	5246
426	7274	5230
427	7297	5217
428	7317	5202
429	7338	5187
430	7360	5174
431	7385	5163
432	7404	5147
433	7427	5134
434	7447	5119
435	7469	5105
436	7498	5096
437	7520	5082
438	7545	5070
439	7566	5055
440	7588	5042
441	7608	5026
442	7629	5011
443	7651	4997
444	7670	4981
445	7685	4962
446	7702	4945
447	7719	4928
448	7741	4913
449	7770	4904
450	7789	4887
451	7808	4871
452	7829	4856
453	7849	4841
454	7867	4824
455	7889	4809
456	7920	4800
457	7939	4784
458	7959	4768
459	7979	4752
460	7998	4736
461	8020	4721
462	8039	4705
463	8059	4689
464	8076	4672
465	8094	4655
466	8112	4638
467	8131	4621
468	8148	4604
469	8164	4585
470	8195	4576
471	8235	4571
472	8255	4555
473	8275	4539
474	8296	4523
475	8313	4506
476	8332	4489
477	8348	4470
478	8364	4452
479	8382	4435
480	8399	4418
481	8417	4400
482	8436	4384
483	8453	4366
484	8470	4348
485	8486	4330
486	8505	4313
487	8522	4296
488	8539	4278
489	8555	4260
490	8573	4242
491	8591	4225
492	8610	4209
493	8627	4191
494	8645	4174
495	8662	4156
496	8681	4139
497	8698	4122
498	8715	4104
499	8736	4088
500	8755	4071
501	8775	4055
502	8795	4039
503	8815	4023
504	8834	4006
505	8880	4001
506	8923	3995
507	8949	3981
508	8966	3963
509	8982	3945
510	9000	3927
511	9018	3910
512	9035	3892
513	9052	3874
514	9071	3857
515	9092	3841
516	9111	3824
517	9136	3809
518	9158	3794
519	9178	3777
520	9197	3760
521	9216	3743
522	9235	3726
523	9256	3709
524	9276	3692
525	9295	3675
526	9314	3658
527	9334	3641
528	9355	3625
529	9377	3609
530	9400	3593
531	9419	3576
532	9437	3558
533	9453	3540
534	9468	3521
535	9484	3503
536	9501	3485
537	9521	3468
538	9540	3451
539	9556	3433
540	9573	3415
541	9590	3397
542	9609	3379
543	9625	3361
544	9641	3343
545	9656	3324
546	9671	3306
547	9686	3287
548	9701	3269
549	9716	3250
550	9730	3231
551	9745	3213
552	9760	3194
553	9776	3176
554	9795	3159
555	9811	3141
556	9828	3123
557	9843	3104
558	9860	3086
559	9877	3068
560	9893	3050
561	9909	3032
562	9935	3017
563	9955	3000
564	9972	2983
565	9990	2965
566	10009	2948
567	10027	2930
568	10046	2913
569	10063	2895
570	10079	2877
571	10098	2860
572	10114	2842
573	10131	2824
574	10146	2805
575	10163	2787
576	10179	2769
577	10196	2752
578	10220	2735
579	10243	2719
580	10264	2703
581	10284	2686
582	10303	2668
583	10328	2652
584	10354	2637
585	10371	2619
586	10388	2601
587	10403	2583
588	10419	2564
589	10435	2546
590	10450	2528
591	10466	2510
592	10483	2492
593	10499	2474
594	10518	2457
595	10538	2440
596	10557	2422
597	10574	2404
598	10589	2386
599	10604	2368
600	10620	2350
601	10634	2331
602	10649	2313
603	10664	2295
604	10679	2277
605	10696	2259
606	10711	2241
607	10728	2223
608	10744	2205
609	10758	2187
610	10774	2168
611	10790	2150
612	10807	2133
613	10822	2115
614	10836	2096
615	10852	2078
616	10867	2060
617	10882	2042
618	10898	2024
619	10914	2006
620	10929	1988
621	10957	1973
622	10972	1954
623	10987	1936
624	11002	1918
625	11016	1900
626	11033	1882
627	11048	1864
628	11064	1846
629	11080	1829
630	11094	1811
631	11111	1793
632	11126	1775
633	11140	1757
634	11155	1739
635	11170	1721
636	11186	1703
637	11201	1685
638	11216	1667
639	11231	1649
640	11246	1631
641	11261	1613
642	11275	1595
643	11290	1577
644	11306	1560
645	11322	1542
646	11338	1524
647	11353	1506
648	11368	1488
649	11384	1471
650	11402	1453
651	11417	1435
652	11433	1418
653	11448	1400
654	11463	1382
655	11478	1364
656	11493	1347
657	11509	1329
658	11524	1311
659	11539	1293
660	11554	1276
661	11569	1258
662	11585	1240
663	11601	1223
664	11616	1205
665	11631	1187
666	11646	1169
667	11661	1152
668	11676	1134
669	11692	1116
670	11706	1099
671	11721	1081
672	11737	1063
673	11751	1046
674	11766	1028
675	11781	1010
676	11798	993
677	11813	975
678	11829	958
679	11844	940
680	11859	923
681	11874	905
682	11889	887
683	11904	870
684	11919	852
685	11934	835
686	11961	818
687	11977	800
688	11992	783
689	12007	765
690	12023	748
691	12037	730
692	12056	713
693	12071	695
694	12087	678
695	12103	660
696	12119	643
697	12135	625
698	12150	608
699	12165	590
700	12179	573
701	12194	555
702	12210	538
703	12225	520
704	12242	503
705	12257	486
706	12272	468
707	12286	451
708	12301	433
709	12315	416
710	12331	398
711	12349	381
712	12365	364
713	12381	346
714	12399	329
715	12415	312
716	12431	294
717	12446	277
718	12461	259
719	12475	242
720	12490	225
721	12504	207
722	12520	190
723	12536	173
724	12551	155
725	12566	138
726	12581	121
727	12596	103
728	12610	86
729	12624	69
730	12640	51
731	12654	34
732	12670	17
733	12686	0
