iter	Logloss
0	0.684396559
1	0.6769325622
2	0.668086255
3	0.6599252734
4	0.6525495668
5	0.645078682
6	0.6386643551
7	0.6319488385
8	0.62607821
9	0.6193861153
10	0.6133386668
11	0.6072236883
12	0.6016036078
13	0.5965377061
14	0.5910057661
15	0.5854665924
16	0.5804548505
17	0.5751159216
18	0.5705810759
19	0.5659404489
20	0.5613226766
21	0.5572228846
22	0.5526526599
23	0.5480884144
24	0.5441067256
25	0.5404255464
26	0.5369432928
27	0.5339068557
28	0.5310260389
29	0.5279463628
30	0.5244573277
31	0.5206871135
32	0.5171065188
33	0.514395076
34	0.5118923933
35	0.5092508392
36	0.5061193999
37	0.5034039227
38	0.501040883
39	0.4985747325
40	0.4963024904
41	0.4939927097
42	0.4915380094
43	0.4895037252
44	0.4869783422
45	0.4843663821
46	0.4819557374
47	0.4791667846
48	0.4774428315
49	0.4746556795
50	0.4728650572
51	0.4708929253
52	0.4691553945
53	0.4676114715
54	0.466137348
55	0.4647762593
56	0.4633025629
57	0.4620214703
58	0.4599354446
59	0.4581397156
60	0.4565371959
61	0.4551489839
62	0.4538651937
63	0.452580345
64	0.451205499
65	0.449994271
66	0.4489306642
67	0.4475933594
68	0.4466270595
69	0.4450511445
70	0.4439289396
71	0.4425666808
72	0.4412183417
73	0.4399759319
74	0.4389925991
75	0.4374769729
76	0.4365753452
77	0.435334479
78	0.4344785037
79	0.4330886389
80	0.4320737847
81	0.4311828794
82	0.4300220353
83	0.4292360076
84	0.4282305611
85	0.4273731829
86	0.4264450866
87	0.425351905
88	0.4244159269
89	0.4234308759
90	0.4221333623
91	0.4210956993
92	0.4202813397
93	0.4194776606
94	0.41862105
95	0.4174490745
96	0.416518968
97	0.4158849597
98	0.4152086723
99	0.4145808597
100	0.4137089312
101	0.412730673
102	0.4122059941
103	0.4114545666
104	0.4103467138
105	0.4096580901
106	0.4089405
107	0.4085083985
108	0.4076219135
109	0.4070192392
110	0.4063536245
111	0.4053427558
112	0.404865114
113	0.4043645613
114	0.4038081916
115	0.403105391
116	0.4023416494
117	0.4018600731
118	0.4013702741
119	0.4006843645
120	0.4001007227
121	0.3996628936
122	0.3992083054
123	0.3986094397
124	0.3982177058
125	0.3976482931
126	0.3972820048
127	0.3968204093
128	0.3963421509
129	0.3957454998
130	0.3953991036
131	0.3948193578
132	0.394419465
133	0.393924636
134	0.3935968765
135	0.3931638636
136	0.3926760547
137	0.3923053766
138	0.3918798642
139	0.3914642274
140	0.3908089068
141	0.3904639066
142	0.3899803244
143	0.3893840582
144	0.389029247
145	0.3886246186
146	0.388304696
147	0.3879257391
148	0.3876349989
149	0.387396102
150	0.3870948535
151	0.3868149326
152	0.3866007771
153	0.3862753015
154	0.3858928333
155	0.3854933498
156	0.3852750158
157	0.3849387605
158	0.3844963986
159	0.384209899
160	0.3839472905
161	0.3836219422
162	0.3832865281
163	0.3829983316
164	0.3826251761
165	0.3823810627
166	0.3821605021
167	0.3819368265
168	0.3816811788
169	0.3813542966
170	0.3811264114
171	0.3808798361
172	0.3806222187
173	0.3803095775
174	0.3799948387
175	0.3797556951
176	0.3795262375
177	0.3792377184
178	0.3789508363
179	0.3786045423
180	0.3783121631
181	0.3778753954
182	0.377637125
183	0.377451784
184	0.3770605235
185	0.3769373099
186	0.3766362956
187	0.3764321439
188	0.3760119432
189	0.375714448
190	0.3754702783
191	0.3752655079
192	0.374927038
193	0.3747094044
194	0.3745279707
195	0.3742986092
196	0.3740819003
197	0.3738746807
198	0.3736785595
199	0.3734968765
200	0.3733107989
201	0.3730919673
202	0.3728655684
203	0.3727113377
204	0.3725082356
205	0.3723284726
206	0.3720967328
207	0.3719284315
208	0.371793597
209	0.3716022943
210	0.3714487236
211	0.3712878889
212	0.3711321866
213	0.3709045302
214	0.3707192546
215	0.370565002
216	0.370402613
217	0.3702599527
218	0.3701028055
219	0.3699181271
220	0.3696754157
221	0.3694939257
222	0.3693354169
223	0.3691774736
224	0.368926589
225	0.3687962974
226	0.3686291663
227	0.3684973719
228	0.3683287419
229	0.3681913082
230	0.3680160502
231	0.3677961896
232	0.3676129601
233	0.3674708062
234	0.3673295191
235	0.3672122044
236	0.3671279619
237	0.3669580046
238	0.3668061483
239	0.3666489838
240	0.3665049706
241	0.3663850192
242	0.3662413462
243	0.3661372464
244	0.3659973654
245	0.3658416333
246	0.3655343696
247	0.3653586177
248	0.3651821294
249	0.3650719528
250	0.3649245362
251	0.3647526374
252	0.3645153249
253	0.3643851953
254	0.3642893858
255	0.3641859696
256	0.3640799527
257	0.3639944812
258	0.3638661099
259	0.3637250666
260	0.3635718241
261	0.3634803285
262	0.3633437005
263	0.3631791632
264	0.3630077856
265	0.3628790027
266	0.3627224367
267	0.3625715975
268	0.362466914
269	0.3622902739
270	0.3622071353
271	0.3621083067
272	0.3620022618
273	0.3619025
274	0.3616796391
275	0.3615599185
276	0.3614460713
277	0.3612603064
278	0.3611069937
279	0.3609612544
280	0.3608619627
281	0.3607421577
282	0.3606591764
283	0.3605218839
284	0.3603966046
285	0.3603013885
286	0.3601752174
287	0.3600701603
288	0.3599659727
289	0.3598585594
290	0.359652058
291	0.3595293976
292	0.3593668526
293	0.3592913858
294	0.3591623001
295	0.3590443514
296	0.3589630022
297	0.3588563802
298	0.3587301026
299	0.3586423333
300	0.3585275556
301	0.3584363437
302	0.3583424465
303	0.3582328544
304	0.3581453112
305	0.3580542585
306	0.357911839
307	0.3578084335
308	0.3577086774
309	0.3576324655
310	0.3575198486
311	0.3574378863
312	0.3573617352
313	0.3572705995
314	0.357160769
315	0.3570979543
316	0.3569851322
