,date,risk_value,available_value,capital,value_to_risk,value_to_safe,floor_value,cushion,risky_w
57,2022-02-27,4947.437582128778,5000.0,9947.437582128778,10183.968462549277,0.0,0,1.0,1.0
58,2022-02-28,5597.897503285151,5000.0,10597.897503285152,9947.437582128778,0.0,0,1.0,1.0
59,2022-03-01,5831.143232588699,5000.0,10831.1432325887,10597.897503285152,0.0,0,1.0,1.0
60,2022-03-02,5837.713534822602,5000.0,10837.713534822602,10831.1432325887,0.0,0,1.0,1.0
61,2022-03-03,5647.174770039423,5000.0,10647.174770039423,10837.713534822602,0.0,0,1.0,1.0
62,2022-03-04,5252.956636005257,5000.0,10252.956636005256,10647.174770039423,0.0,0,1.0,1.0
63,2022-03-05,5453.35085413929,5000.0,10453.350854139291,10252.956636005256,0.0,0,1.0,1.0
64,2022-03-06,5220.105124835743,5000.0,10220.105124835743,10453.350854139291,0.0,0,1.0,1.0
65,2022-03-07,5183.968462549278,5000.0,10183.968462549277,10220.105124835743,0.0,0,1.0,1.0
66,2022-03-08,6672.141918528252,5000.0,11672.141918528252,10183.968462549277,0.0,0,1.0,1.0
67,2022-03-09,6192.5098554533515,5000.0,11192.50985545335,11672.141918528252,0.0,0,1.0,1.0
68,2022-03-10,5867.279894875164,5000.0,10867.279894875164,11192.50985545335,0.0,0,1.0,1.0
69,2022-03-11,5604.467805519054,5000.0,10604.467805519054,10867.279894875164,0.0,0,1.0,1.0
70,2022-03-12,6090.670170827859,5000.0,11090.67017082786,10604.467805519054,0.0,0,1.0,1.0
71,2022-03-13,5768.725361366623,5000.0,10768.725361366622,11090.67017082786,0.0,0,1.0,1.0
72,2022-03-14,6107.095926412615,5000.0,11107.095926412614,10768.725361366622,0.0,0,1.0,1.0
73,2022-03-15,6011.826544021025,5000.0,11011.826544021025,11107.095926412614,0.0,0,1.0,1.0
74,2022-03-16,6218.791064388963,5000.0,11218.791064388963,11011.826544021025,0.0,0,1.0,1.0
75,2022-03-17,6162.943495400788,5000.0,11162.943495400788,11218.791064388963,0.0,0,1.0,1.0
76,2022-03-18,6409.329829172142,5000.0,11409.329829172142,11162.943495400788,0.0,0,1.0,1.0
77,2022-03-19,6484.888304862024,5000.0,11484.888304862023,11409.329829172142,0.0,0,1.0,1.0
78,2022-03-20,6399.474375821288,5000.0,11399.474375821288,11484.888304862023,0.0,0,1.0,1.0
79,2022-03-21,6291.064388961892,5000.0,11291.064388961891,11399.474375821288,0.0,0,1.0,1.0
80,2022-03-22,6366.622864651775,5000.0,11366.622864651774,11291.064388961891,0.0,0,1.0,1.0
81,2022-03-23,6471.747700394219,5000.0,11471.747700394219,11366.622864651774,0.0,0,1.0,1.0
82,2022-03-24,6691.85282522996,5000.0,11691.85282522996,11471.747700394219,0.0,0,1.0,1.0
83,2022-03-25,6557.161629434954,5000.0,11557.161629434955,11691.85282522996,0.0,0,1.0,1.0
84,2022-03-26,6793.692509855454,5000.0,11793.692509855453,11557.161629434955,0.0,0,1.0,1.0
85,2022-03-27,7082.785808147175,5000.0,12082.785808147175,11793.692509855453,0.0,0,1.0,1.0
86,2022-03-28,7056.504599211565,5000.0,12056.504599211565,12082.785808147175,0.0,0,1.0,1.0
87,2022-03-29,7296.3206307490145,5000.0,12296.320630749015,12056.504599211565,0.0,0,1.0,1.0
88,2022-03-30,7266.754270696452,5000.0,12266.754270696452,12296.320630749015,0.0,0,1.0,1.0
89,2022-03-31,6987.516425755584,5000.0,11987.516425755584,12266.754270696452,0.0,0,1.0,1.0
90,2022-04-01,7174.770039421814,5000.0,12174.770039421814,11987.516425755584,0.0,0,1.0,1.0
91,2022-04-02,6984.231274638633,5000.0,11984.231274638634,12174.770039421814,0.0,0,1.0,1.0
92,2022-04-03,7138.633377135349,5000.0,12138.63337713535,11984.231274638634,0.0,0,1.0,1.0
93,2022-04-04,7296.3206307490145,5000.0,12296.320630749015,12138.63337713535,0.0,0,1.0,1.0
94,2022-04-05,7306.1760840998695,5000.0,12306.176084099869,12296.320630749015,0.0,0,1.0,1.0
95,2022-04-06,7000.65703022339,5000.0,12000.65703022339,12306.176084099869,0.0,0,1.0,1.0
96,2022-04-07,7424.441524310118,5000.0,12424.441524310118,12000.65703022339,0.0,0,1.0,1.0
97,2022-04-08,7135.348226018396,5000.0,12135.348226018396,12424.441524310118,0.0,0,1.0,1.0
98,2022-04-09,7877.79237844941,5000.0,12877.792378449409,12135.348226018396,0.0,0,1.0,1.0
99,2022-04-10,7746.386333771354,5000.0,12746.386333771354,12877.792378449409,0.0,0,1.0,1.0
100,2022-04-11,7431.011826544021,5000.0,12431.011826544021,12746.386333771354,0.0,0,1.0,1.0
101,2022-04-12,7641.261498028909,5000.0,12641.261498028909,12431.011826544021,0.0,0,1.0,1.0
102,2022-04-13,7789.093298291721,5000.0,12789.093298291722,12641.261498028909,0.0,0,1.0,1.0
103,2022-04-14,7532.851511169514,5000.0,12532.851511169514,12789.093298291722,0.0,0,1.0,1.0
104,2022-04-15,7864.651773981604,5000.0,12864.651773981604,12532.851511169514,0.0,0,1.0,1.0
105,2022-04-16,7759.526938239159,5000.0,12759.52693823916,12864.651773981604,0.0,0,1.0,1.0
106,2022-04-17,7930.354796320631,5000.0,12930.354796320631,12759.52693823916,0.0,0,1.0,1.0
107,2022-04-18,8745.072273324573,5000.0,13745.072273324573,12930.354796320631,0.0,0,1.0,1.0
108,2022-04-19,8340.998685939554,5000.0,13340.998685939554,13745.072273324573,0.0,0,1.0,1.0
109,2022-04-20,8771.353482260185,5000.0,13771.353482260185,13340.998685939554,0.0,0,1.0,1.0
110,2022-04-21,9149.145860709594,5000.0,14149.145860709594,13771.353482260185,0.0,0,1.0,1.0
111,2022-04-22,8820.630749014455,5000.0,13820.630749014455,14149.145860709594,0.0,0,1.0,1.0
112,2022-04-23,8758.212877792379,5000.0,13758.212877792379,13820.630749014455,0.0,0,1.0,1.0
113,2022-04-24,8301.576872536136,5000.0,13301.576872536136,13758.212877792379,0.0,0,1.0,1.0
